id,canonical_name,city,county,address,active_lat,active_lng,lat_google,lng_google,distance_km,bucket,geo_source,google_place_name,google_formatted_address,google_match_type
406,NK Moslavina (VT),,Bjelovarsko-bilogorska županija,"Donja Petrička 62, Donja Petrička",45.7413636,16.8298033,45.4888346,16.782387699999997,28.321,far,nominatim,HNŠK Moslavina,"Hrvatskih branitelja 10, PP11, 44320, Kutina",places_textsearch
418,NK Moslavina (DP),,Bjelovarsko-bilogorska županija,"Donja Petrička 62, Donja Petrička",45.7413636,16.8298033,45.4888346,16.782387699999997,28.321,far,nominatim,HNŠK Moslavina,"Hrvatskih branitelja 10, PP11, 44320, Kutina",places_textsearch
680,NK Sremac (I),,Vukovarsko-srijemska županija,"Vuka Karadžića 84, Markušica",45.232118,18.7517526,45.183721399999996,19.095452899999998,27.458,far,nominatim,"Nk ""Sremac"" Ilača","32248, Ilača",places_textsearch
690,NK Sremac (M),,Vukovarsko-srijemska županija,"Vuka Karadžića 84, Markušica",45.232118,18.7517526,45.183721399999996,19.095452899999998,27.458,far,nominatim,"Nk ""Sremac"" Ilača","32248, Ilača",places_textsearch
623,NK Zagorac 1952,,Osječko-baranjska županija,"Dubravka 3a, p. p. 10, 42204, Turčin",45.7620563,18.1661368,45.552074399999995,18.0128789,26.212,far,nominatim,NK Zagorac,"31511, Beljevina",places_textsearch
505,NK BSK Biškupci,,Požeško-slavonska županija,"Biškupci 57a, Biškupci",45.438594,17.6095421,45.2989275,17.8643251,25.245,far,nominatim,"NK ""BSK Buk""","D38 49, 34310, Buk",places_textsearch
775,NK Mura,Murska Sobota,Međimurska županija,"Kopališka 45, p.p. 118SI - 9000 Murska Sobota, Slovenija",46.4247788,16.6886366,46.526349499999995,16.400117599999998,24.813,far,nominatim,NK Mura Hlapičina,"Hlapičina 241, 40313, Hlapičina",places_textsearch
360,NK Bilogora (GV),,Koprivničko-križevačka županija,"Gornja Velika 50a, Gornja Velika",45.8582631,16.9504646,46.057331,16.8114793,24.605,far,nominatim,"NK ""Bilogora"" Gornja Velika","48000, Gornja Velika",places_textsearch
695,NK Polet (DNS),,Vukovarsko-srijemska županija,"Matije Antuna Reljkovića 1b, Donje Novo Selo",45.298096,18.7941164,45.138574399999996,19.0086527,24.434,far,nominatim,"NK ""Polet"" Donje Novo Selo","Ul. Ljudevita Gaja 2c, 32245, Donje Novo Selo",places_textsearch
386,NK Bilogora (K),,,"Botinac 2c, Botinac",45.8582631,16.9504646,45.7049358,17.174884,24.363,far,nominatim,NK Bilogora '91,"Ul. Matije Gupca 22, 43290, Grubišno Polje",places_textsearch
381,NK Bilo,,Bjelovarsko-bilogorska županija,"V. Pisanica b. b., 43227 V. Pisanica, Velika Pisanica",45.8183249,17.0902534,45.898306,16.84088,21.261,far,nominatim,Nogometni savez Bjelovarsko-Bil. Županije,"Trg Eugena Kvaternika 13, 43000, Bjelovar",places_textsearch
393,NK Hajduk (H),Bjelovar,Bjelovarsko-bilogorska županija,"Lipovo Brdo, Bjelovar",45.7994716,17.0646813,45.9069334,16.8541371,20.216,far,nominatim,NK Bjelovar,"Poljana dr. Franje Tuđmana 5, 43000, Bjelovar",places_textsearch
460,NK Croatia (G),Grabrovnica,Virovitičko-podravska županija,"Grabrovnica bb, 33405, Grabrovnica",45.8349096,17.3845292,45.934117099999995,17.173614399999998,19.703,far,nominatim,NOGOMETNI KLUB CROATIA,"Grabrovnica bb, 33405, Grabrovnica",places_textsearch
571,NŠK Zlatna luka,,Zadarska županija,"Ul Sv Martina 51, 23206 Sukošan",43.9785546,15.0984097,44.0496098,15.319461899999997,19.362,far,nominatim,NŠK Zlatna Luka,"23206, Sukošan",places_textsearch
