id,canonical_name,city,county,address,active_lat,active_lng,lat_google,lng_google,distance_km,bucket,geo_source,google_place_name,google_formatted_address,google_match_type
371,NK Jadran - Galeb,,,"Koledinec b. b., 48312 Koledinec",45.7707442,15.994581,45.306512999999995,14.488398499999999,128.16,far,nominatim,Jedriličarski klub Galeb,"51221, Kostrena, Hrvatska",places_textsearch
768,NK Grk,,Dubrovačko-neretvanska županija,"Gruda 9, 20244 Potomje",42.7620995,16.5291526,42.6543661,18.0779506,127.113,far,nominatim,NK GOŠK - Dubrovnik 1919,"Ul. kralja Tomislava 2, 20000, Dubrovnik",places_textsearch
639,NK Drava Nard,Valpovo,Osječko-baranjska županija,Valpovačka-31550VALPOVO-Croatia,45.6595827,18.4815811,46.081976399999995,16.9576472,126.989,far,nominatim,NK Drava NP,"Sajmišna ul. 40, 48325, Novigrad Podravski",places_textsearch
516,NK Sava (S),,Brodsko-posavska županija,"Mačkovac 79, Mačkovac",45.1494757,17.2497111,45.7829218,15.9404014,124.041,far,nominatim,NK Sava,"Gredice 159, 10000, Zagreb",places_textsearch
617,NK Vihor (J),,Osječko-baranjska županija,"ŠPORTSKA 9, Jelisavac",45.7995452,15.7771383,44.9669891,14.747212,122.637,far,nominatim,"Nogometni Klub ""Vihor""","Ul. Emila Geistlicha 38, 51523, Baška",places_textsearch
285,NK Gavran 2003,Zagreb,Grad Zagreb,"Lanište 9a, 10000 Zagreb",45.7751587,15.9494847,45.0401758,14.940784299999999,113.488,far,nominatim,NK Bunjevac Gavran,"2WRR+38, 53271, Podbilo",places_textsearch
558,NK Budućnost (R),,Brodsko-posavska županija,"Vladimira Nazora 19, Rešetari",45.2979567,18.8084739,45.2600517,17.421543,108.598,far,nominatim,NK Budućnost,"Vladimira Nazora bb, 35403, Rešetari",places_textsearch
591,NK Budućnost (G),,Osječko-baranjska županija,"Bolokan 20, Gorjani",45.2979567,18.8084739,45.2600517,17.421543,108.598,far,nominatim,NK Budućnost,"Vladimira Nazora bb, 35403, Rešetari",places_textsearch
707,NK Posavac,Posavski Podgajci,Vukovarsko-srijemska županija,"Matije Gupca 55, 32258 Posavski Podgajci",44.9669017,18.828755,45.1129356,17.5221366,103.939,far,nominatim,NK Posavac Davor,"Športska ul., 35425, Davor",places_textsearch
608,NK Napredak (B),Batina,Osječko-baranjska županija,"Vladimira Nazora b. b., 31306 Batina",45.8516945,18.8499509,45.0060473,18.652195499999998,95.289,far,nominatim,"Caffe NK ""Napredak"" -JASTREB","2M42+CV8, Bana Jelačića, Matići, Bosna i Hercegovina",places_textsearch
567,HNK Velebit (B),,Zadarska županija,"Stjepana Radića 10, 23420 Benkovac",44.6713368,14.8837254,44.0352927,15.612793700000001,91.444,far,nominatim,HNK Velebit Benkovac,"23420, Benkovac",places_textsearch
604,NK Jovan Lazić,Bolman,Osječko-baranjska županija,"S. Kovačevića 46, 31323 Bolman",45.7219029,18.5169211,45.1043306,17.746217599999998,91.294,far,nominatim,"NK ""Slavonac"" Slavonski Kobaš","Josipa Kozarca 3, 35255, Slavonski Kobaš",places_textsearch
156,NK Matija Gubec (K),,Sisačko-moslavačka županija,Kutina,45.8197569,15.8329976,45.4906928,16.773234,81.725,far,nominatim,NK Matija Gubec,"Ul. kralja Zvonimira 45, 44320, Kutina",places_textsearch
523,NK Slavija (SPS),,Brodsko-posavska županija,,45.3052313,18.8103933,45.288674,17.802895499999998,78.826,far,nominatim,NK Slavija Pleternica,"34310, Pleternica",places_textsearch
784,NK Omladinac (NSR),,,"Strelec 66b, Strelec",45.8975233,16.8418012,45.7087728,15.9189175,74.554,far,nominatim,NK Omladinac,"Strmečka cesta 56, 10000, Strmec",places_textsearch
846,NK Omladinac (GV),,,"Strelec 66b, Strelec",45.8975233,16.8418012,45.7087728,15.9189175,74.554,far,nominatim,NK Omladinac,"Strmečka cesta 56, 10000, Strmec",places_textsearch
438,NK Turbina,,Primorsko-goranska županija,"Tribalj 21, 51243 Tribalj",45.495829,15.5473736,45.2200755,14.679170099999999,74.444,far,nominatim,NK Turbina,"Tribalj 21, 51243, Tribalj",places_textsearch
